"Date","WS","RT","ARR"
"2006-12-24",5.8979660945,10.3752370282,170.425429123
"2006-12-25",5.9700891337,10.3752370282,167.535371907
"2006-12-26",6.0629661381,10.3252054245,161.466655653
"2006-12-27",6.1606941098,10.4151780345,150.892434899
"2006-12-28",6.2548237841,10.4931542966,147.677443579
"2006-12-29",6.3759583907,10.5607337237,161.059117769
"2006-12-30",6.4547194941,10.5607337237,145.957902066
"2006-12-31",6.5607568949,10.5607337237,140.663515124
"2007-01-01",6.6242609139,10.5607337237,160.548379774
"2007-01-02",6.6823936467,10.7526358939,246.448595804
"2007-01-03",6.7715665573,10.918951108,302.458116364
"2007-01-04",6.8698021274,11.0630909603,365.026367515
"2007-01-05",6.9560507327,11.3213454989,397.442851846
"2007-01-06",7.0254291535,11.3213454989,389.157138267
"2007-01-07",7.1205571182,11.3213454989,358.344186498
"2007-01-08",7.1847495025,11.5451660991,331.058294965
"2007-01-09",7.287671791,11.8724772859,477.719855636
"2007-01-10",7.3688711078,12.1561469811,578.825208218
"2007-01-11",7.489317923,12.4019940503,525.444513789
"2007-01-12",7.6124882317,12.7483948436,494.226578617
"2007-01-13",7.6989416527,12.7483948436,442.639034802
"2007-01-14",7.7970625636,12.7483948436,407.564496828
"2007-01-15",7.9172832816,13.3152755311,375.671897251
"2007-01-16",8.0517309808,13.8065721269,355.832977617
"2007-01-17",8.1966283885,14.23236251,324.057913935
"2007-01-18",8.4100620637,14.601380842,309.13952541
"2007-01-19",8.6091966457,14.9211967297,289.655588689
"2007-01-20",8.7510815374,14.9211967297,362.470843531
"2007-01-21",8.8870484435,14.9211967297,338.012064393
"2007-01-22",8.9840530955,15.0650371658,381.787789141
"2007-01-23",9.0715126828,15.189698877,448.289417255
"2007-01-24",9.1799263763,15.2977390267,474.877494955
"2007-01-25",9.2909838119,15.3913738232,520.539162294
"2007-01-26",9.3932970814,15.3913738232,462.416607321
"2007-01-27",9.4660638198,15.3913738232,483.798393012
"2007-01-28",9.5736553105,15.3913738232,484.814607277
"2007-01-29",9.6439713545,15.4725239801,448.397992973
