"","ArrivalcData.fcst","ArrivalcData.lower","ArrivalcData.upper","ArrivalcData.CI","V5"
"262",6959.78113996832,1173.68517862964,12745.877101307,5786.09596133868,6139.66380161
"263",6951.4070125339,1160.37730601772,12742.4367190501,5791.02970651618,5841.44196139
"264",6940.65140167766,1144.77964914534,12736.52315421,5795.87175253232,6289.68969987
"265",6935.5623606972,1134.95599036543,12736.168731029,5800.60637033177,6135.78440656
"266",6932.72097324351,1127.4370652617,12738.0048812253,5805.2839079818,5593.03981902
"267",6924.99929622888,1115.06970125502,12734.9288912027,5809.92959497387,5629.04784315
"268",6916.97615961558,1102.44321508894,12731.5091041422,5814.53294452664,5792.49479739
"269",6911.98519430413,1092.88053281241,12731.0898557958,5819.10466149172,5066.98882441
"270",6904.08918482449,1080.44737888147,12727.7309907675,5823.64180594302,5246.40364782
"271",6894.13529137536,1066.03824977935,12722.2323329714,5828.09704159601,5502.38982811
"272",6889.3019765202,1056.84523737962,12721.7587156608,5832.45673914058,5554.33785103
"273",6886.39946913888,1049.63530722952,12723.1636310482,5836.76416190937,5686.58613756
"274",6879.16353462896,1038.12258685631,12720.2044824016,5841.04094777265,5983.38798588
"275",6871.75986419111,1026.48083791235,12717.0388904699,5845.27902627876,5935.30958777
"276",6866.99233432837,1017.50374530104,12716.4809233557,5849.48858902733,5359.89497606
"277",6859.5234872372,1005.85687995002,12713.1900945244,5853.66660728718,5418.14897926
"278",6850.28954946034,992.518038903493,12708.0610600172,5857.77151055685,5770.35578202
"279",6845.6857360355,983.894219842673,12707.4772522283,5861.79151619283,5780.78834442
"280",6842.73902814456,976.975253797857,12708.5028024913,5865.76377434671,5761.13656516
"281",6835.94322214116,966.236418979668,12705.6500253026,5869.70680316149,5621.65168981
"282",6829.07869728166,955.464233038335,12702.693161525,5873.61446424332,5549.12479783
"283",6824.49328522922,946.996970586115,12701.9895998723,5877.49631464311,5104.76149146
"284",6817.39554244209,936.04628907235,12698.7447958118,5881.34925336974,4972.37995926
"285",6808.78555836308,923.648768551866,12693.9223481743,5885.13678981122,4952.55596469
"286",6804.36343391474,915.514675075036,12693.2121927544,5888.84875883971,4977.4151694
"287",6801.36909199686,908.852023501491,12693.8861604922,5892.51706849537,4860.63981348
"288",6794.96552193326,898.807893834684,12691.1231500318,5896.15762809858,5117.91450502
"289",6788.57658346424,888.810631331418,12688.3425355971,5899.76595213282,5165.08590435
"290",6784.15426365729,880.803258156409,12687.5052691582,5903.35100550088,5010.40778377
"291",6777.39538184003,870.485659552435,12684.3051041276,5906.9097222876,4844.24674593
"292",6769.33618830889,858.926106351063,12679.7462702667,5910.41008195783,4648.17384647
"293",6765.0554507254,851.212174121939,12678.8987273289,5913.84327660346,4617.28400028
"294",6761.9993919301,844.762724511495,12679.2360593487,5917.2366674186,4639.96613357
"295",6755.92653280204,835.322625528795,12676.5304400753,5920.60390727324,5060.87731576
"296",6749.93816654434,825.996327680243,12673.8800054084,5923.9418388641,5160.747007
"297",6745.64783225656,818.388986737054,12672.9066777761,5927.25884551951,5236.3407394
"298",6739.19300317006,808.641032860503,12669.7449734796,5930.55197030956,5040.66864081
"299",6731.62488727367,797.831754934925,12665.4180196124,5933.79313233874,5055.68615537
"300",6727.46302194868,790.488332204686,12664.4377116927,5936.97468974399,4995.58133465
"301",6724.34631670204,784.226248272842,12664.4663851312,5940.1200684292,5046.4771567
"302",6718.55819819415,775.31726184237,12661.7991345459,5943.24093635178,5352.44020247
"303",6712.90523674165,766.570084592287,12659.240388891,5946.33515214936,5193.90150881
"304",6708.71291004022,759.302424329107,12658.1233957513,5949.41048571112,5049.31464097
"305",6702.51939806501,750.055306718621,12654.9834894114,5952.46409134639,4942.01935551
"306",6695.37751002588,739.906168331136,12650.8488517206,5955.47134169475,4833.83010811
"307",6691.3079176744,732.882302927373,12649.7335324214,5958.42561474703,4481.31942702
"308",6688.13198370626,726.785015911511,12649.478951501,5961.34696779475,4291.90350342
"309",6682.59461356249,718.34923055171,12646.8399965733,5964.24538301078,4149.0630363
"310",6677.23048898724,710.110946806838,12644.3500311676,5967.1195421804,3689.64129813
"311",6673.1173276528,703.140706467703,12643.0939488379,5969.9766211851,3328.23579171
"312",6667.15351222559,694.339608306157,12639.967416145,5972.81390391944,3611.87101948
"313",6660.38066804792,684.77087418376,12635.9904619121,5975.60979386416,3615.44821688
"314",6656.37562036418,678.017077629495,12634.7341630989,5978.35854273468,3469.4951213
"315",6653.13404343222,672.056735409517,12634.2113514549,5981.0773080227,3399.08243846
"316",6647.80906121439,664.034422926992,12631.5836995018,5983.7746382874,3768.49811333
"317",6642.68822077262,656.238335885376,12629.1381056599,5986.44988488724,3858.72503155
"318",6638.63815850938,649.528483802688,12627.7478332161,5989.10967470669,3579.53502735
"319",6632.88015643532,641.128698754311,12624.6316141163,5991.75145768101,3795.58369037
"320",6626.43270788083,632.076402301793,12620.7890134599,5994.35630557904,4033.90586498
"321",6622.47514567399,625.555930418212,12619.3943609298,5996.91921525578,4070.22508299
"322",6619.16634948749,619.711510703563,12618.6211882714,5999.45483878393,3785.60840526
"323",6614.01960735098,612.049128639109,12615.9900860629,6001.97047871187,4254.26061789
"324",6609.09860720602,604.63261642123,12613.5645979908,6004.46599078479,4220.34586884
"325",6605.09210300353,598.144634997479,12612.0395710096,6006.94746800605,3885.64641966
"326",6599.51320536113,590.100674194918,12608.9257365273,6009.41253116621,3982.74689704
"327",6593.3502439964,581.505649838124,12605.1948381547,6011.84459415828,3878.6206441
"328",6589.42730959052,575.188008490053,12603.666610691,6014.23930110047,3846.87122489
"329",6586.05503780938,569.445882316963,12602.6641933018,6016.60915549241,3847.6883949
